,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
2411,20010407005699A,"PRIVACY DAT AND ONE PASSENGER WERE ENROUTE FROM PETERSBURGH, VA  PTV TO ORANGEBURGH, SC OGB IN N80K A",II,V,73,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,7310,                    ,                    ,Fuel Contamination  ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"PRIVACY DAT AND ONE PASSENGER WERE ENROUTE FROM PETERSBURGH, VA  PTV TO ORANGEBURGH, SC OGB IN N80K A KR2S EXPERIMENTAL HOMEBUILT aircraft  DURING THE ENROUTE PORTION OF THE FLIGHT OVER NASHVILLE, NC AT 1200 AGL THE aircraft ENGINE STALLED  PRIVACY DAT STATED THAT ""THE aircraft IMMEDIATELY STALLED, HE RECOVERED, AND LANDED IN A FIELD ""  19 ON APRIL 7, 2001, ABOUT 1120 EDT, A JEROME WELLS KR-2, N8089K, REGISTERED TO, AND OPERATED BY A PRIVATE OWNER AS A TITLE  CFR PART 91 PERSONALFLIGHT, MADE A FORCED LANDING TO A FIELD IN NASHVILLE, NC  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND NO FLIGHT PLAN WAS FILED  THE AIRLINE TRANSPORT-RATED PILOT SUSTAINED MINOR INJURIES AND ONE PASSENGER RECEIVED NO INJURIES  THE aircraft INCURRED SUBSTANTIAL DAMAGE  THE FLIGHT ORIGINATED FROM PETERSBURG, VA , THE SAME DAY ABOUT 1015  THE PILOT STATED THAT HE HAD RECENTLY PURCHASED THE aircraft, AND WAS FLYING IT HOME, AND WHILE IN CRUISE FLIGHT AT ABOUT 1,200 FEET, THE aircraft ENGINE CEASED OPERATING  THE PILOT FURTHER STATED THAT HE EXECUTED A FORCED LANDING TO AN OPEN FIELD, AND THE AIRPLANE INCURRED SUBSTANTIAL DAMAGE DURING THE LANDING                                                                         ON APRIL 7, 2001, ABOUT 1120 EASTERN DAYLIGHT TIME, A JEROME WELLS KR-2, N8089K, REGISTERED TO, AND OPERATED BY A PRIVATE OWNER, AS A TITLE  CFR PART 91 PERSONAL FLIGHT, MADE A FORCED LANDING TO A FIELD IN NASHVILLE, NORTH CAROLINA  VISUAL METEOROLOGICAL CONDITIONS PREVAILED, AND NO FLIGHT PLAN WAS FILED  THE AIRLINE TRANSPORT-RATED PILOT SUSTAINED MINOR INJURIES, AND ONE PASSENGER RECEIVED NO INJURIES  THE AIRCRAFT INCURRED SUBSTANTIAL DAMAGE  THE FLIGHT ORIGINATED FROM PETERSBURG, VIRGINIA, THE SAME DAY, ABOUT 1015  THE PILOT STATED THAT THE AIRCRAFT HAD BEEN SITTING FOR ABOUT0 DAYS, AND IT HAD TAKEN ABOUT 20 MINUTES TO GET IT STARTED  THE PILOT FURTHER STATED THAT ONCE HE HAD GOTTEN IT STARTED, HE RAN IT FOR ABOUT 7 MINUTES, AND HE AND HIS NEPHEW THEN EMBARKED, AND HE STARTED IT, AND TAXIED FOR TAKEOFF  HE SAID HE WAS NUMBER THREE FOR TAKEOFF, AND WHILE WAITING HE IDLED THE ENGINE FOR ABOUT 10 MINUTES, PERFORMED THE ENGINE RUNUP, EXECUTED THE TAKEOFF, AND CLIMBED TO ALTITUDE  ONCE AT CRUISE ALTITUDE, HE SAID HE PROCEEDED TO THE SOUTH, AND HAD BEEN AIRBORNE FOR ABOUT AN HOUR WHEN HE DECIDED TO TRANSFER FUEL FROM THE RIGHT WING TANK  ACCORDING TO THE PILOT, ABOUT 2 MINUTES AFTER TRANSFERRING FUEL, THE ENGINE STARTED TO ""CUT OUT"", AND THEN IT CEASED OPERATING  HE SAID HE THEN EXECUTED A FORCED LANDING TO AN OPEN FIELD, AND DURING THE LANDING, THE AIRPLANE INCURRED SUBSTANTIAL DAMAGE  THE PILOT ALSO SAID THAT HE ASSUMED THAT MAYBE HE HAD NOT EFFECTIVELY DRAINED ALL THE WATER OUT OF THE RIGHT WING TANK, AND WHEN HE ""FED"" FROM THE RIGHT WING, THERE WAS ENOUGH CONTAMINATION TO CAUSE THE ENGINE TO ""FLAME OUT "" POSTCRASH EXAMINATION OF THE AIRCRAFT BY AN FAA LICENSED MECHANIC WITH INSPECTION AUTHORIZATION REVEALED THAT THE CARBURETOR DRAIN PLUG HAD DROPS OF MOISTURE THAT DID NOT APPEAR TO BE FUEL  IN ADDITION, THE EXAMINATION REVEALED THAT THE GASCOLATOR FUEL BOWL, MOUNTED ON THE FIREWALL, WAS FULL OF WATER AND DEBRIS  ACCORDING THE MECHANIC, THE FUEL BOWL HAD A DRAIN VALVE, BUT IT WAS CLOGGED "
2412,20010726018379I,"ON 07/26/01 PILOT ROBERT TAIBEDEAU, CERT #20160, ATTEMPTED TO DEPART VGT  PRIOR TO THIS INCIDENT THIS PILOT",II,V,MO,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Pilot/Crew Mismanage,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Gear Collapse       ,Level Off Touchdown,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,"ON 07/26/01 PILOT ROBERT TAIBEDEAU, CERT #20160, ATTEMPTED TO DEPART VGT  PRIOR TO THIS INCIDENT THIS PILOT HAD AN ELECTRICAL EMERGENCY WHICH INVOLVED EXTENSION OF THE LANDING GEAR WITHOUT PUTTING THE GEAR HANDLE IN THE DOWN POSITION  A SUCCESSFUL LANDING WAS MADE AND THE AIRCRAFT BATTERY WAS CHARGED AT A LOCAL FBO  DURING TAKEOFF OPERATIONS THE NOSE GEAR RETRACTED CAUSING THE PROPELLER AND GEAR DOOR TO CONTACT THE GROUND   PILOT STATED THAT THE LANDING GEAR HANDLE WAS LEFT IN THE UP POSITION DURING TAKEOFF OPERATIONS   IMMEDIATELY FOLLOWING THE INCIDENT, STATEMENT ON FILE AT THIS FSDO THE GEAR HANDLE POSITION WAS WITNESSED BY THE OWNER OF THE FBO THAT HAD CHARGED THE AIRCRAFT BATTERY "
2413,20010805023549A," 19 ON AUGUST 5, 2001, ABOUT 2015 HOURS PACIFIC DAYLIGHT TIME, A CESSNA 336, N3838U, EXPERIENCED A LOSS OF POWER",II,V,28,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,2820,                    ,                    ,Improperly Secured  ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,                    ,Flight Personnel    ,Discussion          ,Flight Personnel    ,Re-Examination/Re-In,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ," 19 ON AUGUST 5, 2001, ABOUT 2015 HOURS PACIFIC DAYLIGHT TIME, A CESSNA 336, N3838U, EXPERIENCED A LOSS OF POWER IN BOTH ENGINES AND COLLIDED WITH A GUARDRAIL DURING AN OFF-AIRPORT EMERGENCY LANDING ON HIGHWAY  NEAR PALMDALE, CALIFORNIA  THE AIRPLANE, OWNED AND OPERATED BY THE PRIVATE PILOT UNDER THE PROVISIONS OF  CFR PART 91, SUSTAINED SUBSTANTIAL DAMAGE  THE PILOT, THE SOLE OCCUPANT, RECEIVED MINOR INJURIES  VISUAL METEOROLOGICAL CONDITIONS PREVAILED FOR THE PERSONAL FLIGHT THAT HAD DEPARTED THE GENERAL WILLIAM J  FOX AIRFIELD, LANCASTER, CALIFORNIA, ABOUT 2000  NO FLIGHT PLAN HAD BEEN FILED  THE FLIGHT ORIGINATED AND WAS SCHEDULED TO TERMINATE AT THE EL MONTE AIRPORT, EL MONTE, CALIFORNIA, WITH A PLANNED STOP AT LANCASTER  THE SAFETY BOARD INVESTIGATOR INTERVIEWED THE PILOT  THE PILOT STATED THAT HIS PLAN WAS TO FLY TO EIGHT LOCAL AREA AIRPORTS TO GET CURRENT  HE HAD FLOWN EARLIER THAT AFTERNOON FROM EL MONTE TO FOX AIRFIELD WITH NO MECHANICAL DISCREPANCIES NOTED  IT WAS DUSK WHEN HE GOT READY TO LEAVE FOR EL MONTE AND HE DECIDED TO FLY HOME INSTEAD OF CONTINUING WITH HIS FLIGHT   THE PILOT REPORTED THAT DURING CLIMB OUT, ABOUT,500 FEET, BOTH ENGINES STARTED TO LOSE PO WER  HE STATED THAT HE DID NOT HEAR EITHER ENGINE SPUTTER  HE INDICATED THAT BOTH ENGINES WERE NOT PRODUCING ENOUGH POWER TO STAY IN THE AIR  THE AIRPLANE KEPT GETTING LOWER AND LOWER  HE ATTEMPTED TO LAND THE AIRPLANE ON THE HIGHWAY, BUT LANDED SHORT ON THE SHOULDER AND COLLIDED WITH THE GUARDRAIL   THE CALIFORNIA HIGHWAY PATROL CHP SERGEANT, WHO RESPONDED TO THE SCENE, REPORTED THAT THE LANDING GEAR HAD BEEN TORN OFF THE AIRFRAME, AND THE GUARDRAIL HAD BEEN DISPLACED ABOUT 15 FEET  HE FURTHER INDICATED THAT THE AIRPLANE WAS DOWN IN A RAVINE  RESPONDERS ALSO NOTED THAT FUEL WAS LEAKING OUT OF THE AIRPLANE   WHEN THE PILOT WAS INTERVIEWED BY THE LOS ANGELES COUNTY SHERIFF'S AERO BUREAU UNIT, HE STATED THAT WHEN THE LOSS OF POWER WAS EXPERIENCED, HE MADE SURE THAT THE MIXTURE, PROPELLER, AND THROTTLE LEVERS WERE IN THE FULL FORWARD POSITIONS  HE STATED THAT HE DID EVERYTHING HE COULD; HOWEVER, HE DID NOT ACTIVATE THE BOOST PUMPS                                PILOT DEPARTED FOX AIRPORT, LANCASTER, CA WJF  DUST APPROX 2030 HRS HEADED FOR EL MONTE AIRPORT EMT, EL MONTE, CA HOME BASE FOR AIRCRAFT  DID NOT BUY FUEL AT WJF, 80 GALS ON BOARD, ONLY PERSON ONBOARD, RUNNING L ATE, NO FLIGHT PLAN  AFTER TAKE-OFF, HEADING TOWARDS EL MONTE VIA HWY /PEARBLOSSOM HWY EXIT/ANGELS FOREST HWY, 500 FT  ALT  BOTH ENGINES: 2100 TO 2200 RPM, STARTED TO LOOSE POWER, COULD NOT MAKE PALMDALE AIRPORT PMD, PALMDALE, CA, FOR EMERGENCY LANDING  PILOT CRASH LANDED ON RIGHT SIDE OF THE SOUTH BOUND HWY , ON THE MOUNTAINOUS TERRAIN, APPROX  1 5 MILES NORTH OF PEARBLOSSOM HWY EXIT "
2414,20010611023089I,"ON JUNE 6, 2001, ABOUT 0800 HRS  EASTERN STANDARD TIME, A CESSNA 150, N2207J, REGISTERED TT FREDERICK PISHOTTA",II,V,73,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,7310,                    ,                    ,Fuel Contamination  ,Forced Landing      ,Normal Cruise,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"ON JUNE 6, 2001, ABOUT 0800 HRS  EASTERN STANDARD TIME, A CESSNA 150, N2207J, REGISTERED TT FREDERICK PISHOTTA, AND OPERATED BY THOMAS JORGENSEN WAS CONDUCTED UNDER PART 91  THE PILOT STATED AFTER ABOUT 300 MINS INTO THE FLIGHT THE ENGINE LOST POWER AND A RESTART WAS UNSUCCESSFUL THEREFORE THE PILOT MADE AN EMERGENCY LANDING IN A FIELD   VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME AND A VFR FLIGHT PLAN WAS NOT FILED  THE AIRCRAFT WAS NOT DAMAGED AND THE PILOT AND PASSENGER WERE NOT INJURED "
2415,20010806023719I,ON A SECOND FLIGHT OF THE DAY AFTER REFUELING THE HELICOPTER THE PILOT FAILED TO NOTICE THAT THE WIND GUST HAD,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,To Vertical (Helicop,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Unknown             ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Additional Training ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"ON A SECOND FLIGHT OF THE DAY AFTER REFUELING THE HELICOPTER THE PILOT FAILED TO NOTICE THAT THE WIND GUST HAD CAUSED THE MAIN ROTOR BLADE TO FLEX, ALLOWING THE BLADE TIE DOWN TO COME LOSE AND FALL DOWN OVER THE TAIL ROTOR STRINGER   THE PILOT FAILED TO SEE THIS ON A WALK AROUND INSPECTION   AS THE PILOT APPLIED POWER FOR TAKE-OFF HE FELT A VIBRATION AND SAT THE HELICOPTER BACK DOWN   THE TIE DOWN HAD COME IN CONTACT WITH THE TAIL ROTOR  PRIVACY DATA OMITTED"
2416,20010723017949A,"PILOT WAS ON A VFR FLIGHT FROM AUBURN/LEWISTON, ME LEW TO BUFFALO, NY BUF  APPROXIMATELY 15 MILES SOUTHWE",II,V,81,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,8120,                    ,                    ,Foreign Object Damag,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"PILOT WAS ON A VFR FLIGHT FROM AUBURN/LEWISTON, ME LEW TO BUFFALO, NY BUF  APPROXIMATELY 15 MILES SOUTHWEST OF AUBURN/LEWISTON LEW WHILE CLIMBING THROUGH 8,000 FEET MSL, THE ENGINE LOST POWER SUDDENLY AS MANIFOLD PRESSURE DECREASED INITIALLY TO APPROXIMATELY 15 INCHES MP AND THEN TO 5 INCHES MP WHERE IT REMAINED   THE PILOT ATTEMPTED TO RESTORE POWER BY SWITCHING FUEL TANKS, IGNITIONS, AND FINALLY ALTERNATE BATTERY POWER   POWER WAS NOT RESTORED THROUGH ANY OF THESE ACTIONS   HE THEN SET UP A POWER-OFF GLIDE TO NEAREST AIRPORT FREYEBURG, ME IZG  HE DECLARED AN EMERGENCY AND PROCEEDED TO MAKE AN EMERGENCY LANDING TO RUNWAY 32 AT IZG   THE AIRCRAFT LANDED APPROXIMATELY 100 FEET SHORT OF THE RUNWAY AND SLID TO A STOP ON THE RUNWAY   THE PILOT EXTENDED THE GEAR ON SHORT FINAL BUT THE GEAR WAS NOT FULLY DOWN AND LOCKED ON LANDING                                                 ON JULY 23, 2001, AT 0933 EASTERN DAYLIGHT TIME, A HOMEBUILT LANCAIR IV-P, 88SD, WAS SUBSTANTIALLY DAMAGED DURING A FORCED LANDING IN FRYEBURG, MAINE  THE CERTIFICATED PRIVATE PILOT/BUILDER AND THE PASSENGER WERE NOT INJURED  VISUAL METEOROLOGICAL CONDITIONS PREVAILED, AND A VISUAL FLIGHT RUL ES FLIGHT PLAN WAS FILED FOR THE PERSONAL FLIGHT CONDUCTED UNDER  CFR PART 91  THE PILOT/BUILDER REPORTED THAT HE HAD DEPARTED FROM LEWISTON, MAINE, AND WAS EN ROUTE TO BUFFALO, NEW YORK, WITH A FINAL DESTINATION OF OSHKOSH, WISCONSIN  ABOUT 10 MINUTES AFTER DEPARTURE, HE WAS CLIMBING THROUGH 8,000 FEET FOR ,500 FEET, WHEN THE MANIFOLD PRESSURE, WHICH HAD BEEN ABOUT  INCHES, DROPPED TO ABOUT 15 INCHES  HE CHECKED HIS GPS FOR THE CLOSEST AIRPORT, WHICH WAS FRYEBURG, ABOUT 12 NAUTICAL MILES TO THE NORTH  HE TURNED TOWARD THE AIRPORT AND SET UP A DESCENT AT 120 KIAS  HE SAID THAT HE DID NOT DECLARE AN EMERGENCY AT THAT TIME AND THOUGHT HE WOULD BE ABLE TO MAKE THE AIRPORT  AS THE AIRPLANE DESCENDED THROUGH 3,000 FEET, THE MANIFOLD PRESSURE, WHICH HAD BEEN STEADILY DECREASING, DECREASED TO INCHES  THE PILOT REPORTED THAT AT THAT POINT HE RETARDED THE PROPELLER CONTROL TO ITS MAXIMUM PITCH POSITION TO REDUCE DRAG, AND REDUCED HIS AIRSPEED TO ABOUT 100 KIAS  THE PILOT/BUILDER POSITIONED THE AIRPLANE FOR A STRAIGHT-IN APPROACH TO RUNWAY 32  AS THE AIRPLANE NEARED THE RUNWAY, HE DECIDED TO HOLD THE LANDING GEAR DUE TO THE LOWER-THAN-ANTICIPATED ALTITUDE OF THE AIRPLANE  WHEN HE DIDEXTEND THE LANDING GEAR, THERE WAS INSUFFICIENT TIME TO COMPLETE THE EXTENSION, AND THE AIRPLANE TOUCHED DOWN ABOUT 100 FEET SHORT OF THE RUNWAY WITH THE LANDING GEAR ONLY PARTIALLY EXTENDED  THE AIRPLANE THEN SLID ONTO THE RUNWAY AND CAME TO A STOP  ACCORDING TO AN INSPECTOR FROM THE FEDERAL AVIATION ADMINISTRATION FAA, THE COMPOSITE BLADES OF THE PROPELLER WERE BROKEN OFF, THE BOTTOM OF THE FUSELAGE WAS SCRAPED, AND THERE WAS A FUEL SPILL FROM WHERE THE RIGHT WING FUEL TANK WAS BROKEN OPEN  THE REMAINS OF A PAPER TOWEL WERE FOUND IN THE TURBOCHARGER AND INTERCOOLERS  THE PILOT REPORTED THAT HE HAD JUST COMPLETED HIS PHASE 1 FLIGHT TIME REQUIREMENTS AFTER BUILDING THE AIRPLANE, AND HAD INSPECTED IT  DURING THE INSPECTION, SEVERAL PEOPLE, SOME OF WHOM WERE NOT RATED MECHANICS, ASSISTED  THE ENGINE COWLING HAD BEEN REMOVED, AND PAPER TOWELS WERE USED AS WIPES ON VARIOUS PARTS OF THE ENGINE AND AIRPLANE  SEVERAL PAPER TOWELS WERE REPORTED TO BE LYING LOOSE ON THE GROUND AT THE COMPLETION OF THE INSPECTION  IN ADDITION, THE PILOT/BUILDER TOLD THE FAA INSPECTOR THAT A PAPER TOWEL HAD INADVERTENTLY BEEN LEFT ON THE TOP OF THE ENGINE  THE FAA INSPECTOR ALSO NOTED THAT THERE WAS A 5-INCH BY 10-INCH OPENING IN THE BACK OF THE ENGINE, WHICH ALLOWED UNFILTERED AIR INTO THE AIR INTAKE MANIFOLD  THE ACCIDENT FLIGHT WAS THE FIRST FLIGHT FOLLOWING THE INSPECTION "
2417,20010801018589I,ON TAKEOFF FOR A MIANTENANCE FERRY FLIGHT SPECIAL FLIGHT PERMIT ISSUED FROM FULTON COUNTY-BRONW FIELD FTY,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Gear Collapse       ,Takeoff Ground Roll,                    ,Pilot Induced       ,Other               ,Ferry               ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"ON TAKEOFF FOR A MIANTENANCE FERRY FLIGHT SPECIAL FLIGHT PERMIT ISSUED FROM FULTON COUNTY-BRONW FIELD FTY TO WEST GEORGIA REGIONAL CTJ N28M NOSE GEAR RETRACTED ON ROTATE  ONE PILOT ON BOARD NO INJURIES   AIRCRAFT WAS TO BE FERRYED FOR maintenance AFTER A GEAR UP LANDING   maintenance PERSONAL AND FAA PERFORMED OPERATIONAL CHECK OUT OF GEAR AND THERE WAS NO MALFUNCTION NOTED PRIOR TO FERRY FLIGHT  AFTER NOSE GEAR RETRACTION ON FERRY FLIGHT ATTEMPT maintenance PERSONEL AND THE IIC GLENN THOMPSON PERFORMED NUMBEROUS GEAR RETRACTION TEST AND THERE WAS NO MALFUCTION OF THE GEAR SYSTEM NOTED   ALSO ON SITE INSPECTION OF AIRCRAFT SHOWED GEAR HANDLE IN THE UP POSITION   THE MECHANICS THAT PERPARED THE AIRCRAFT FOR FERRY LEFT INSTRUCTIONS FOR THE FERRY PILOT TO NOT USE THE GEAR OR THE FLAPS   THIS NOTE WAS PLACED IN THE COCKPIT AND WRITTEN WITH 1 INCH BLUE LETTERS   THE PILOT THEN PROCEEDED TO TAXI OUT AND TAKEOFF ON THE FLIGHT GEAR HANDLE UP   THE GEAR OPERATED AS DESIGNED AND AT WEIGHT OFF WHEELS 60 KNOTS THE NOSE GEAR RETRACTED   AS STATED THERE WERE NUMBEROUS RETRACTION TESTS TO CHECK THE GEAR OPERATION AT FTY ON AUGUST 3, 2001   THE GEAR AND WARNING HORN WERE OPERATIO NAL  THE AIRCRAFT WAS IN FURRENT ANNUAL INSPECTION AND WAS IN SAFE CONDITION FOR FERRY OPERATIONS ANNUAL INSPECTION SEPTEMBER 7, 2000, TOTAL TIEM 3195    THE PILOT SHOULD HAVE CHECKED THE GEAR HANDLE PLACEMENT  AND CONTACTED THE MECHANICS TO ASSURE ITS PLACEMENT   THIS DETAIL SHOULD HAVE BEEN DILIGENTLY OBSERVED   THE PILOT IN VERBAL STATEMENT BY TELEPHONE TO THIS INSPECTOR STATED, HE DID NOT PUT THE GEAR HANDLE UP   THE INVESTIGATION SHOWS THE GEAR HANDLE WAS ALREADY IN THE UP POSITION AND WAS NOT OBSERVED BY THE PILOT PICTURES ATTACHED   THE LACK OF ATTENTION TO DETAIL AND COMMUNICATION CAUSED THE INCIDENT   THE PILOT SHOULD HAVE OBSERVED THE PLACEMENT OF THE GEAR HANDLE AND ASSURED THAT THE PLACEMENT WAS CORRECT IF IT WAS IN A NON-STANDARD CONFIGURATION   PILOT SHOULD ASSURE PROPER STATUS OF THE AIRCRAFT PRIOR TO FERRY OPERATIONS  PRIVACY DATA OMITTED            TURNED OVER TO GENERAL AVIATION OPERATIONS "
2418,20010717021699I,THE AIRMAN ATTEMPTED A TAKEOFF WITH PITOT COVER ATTACHED  TAKEOFF WAS ABORTED WHEN THE PILOT NOTICED THAT THE,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,                    ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"THE AIRMAN ATTEMPTED A TAKEOFF WITH PITOT COVER ATTACHED  TAKEOFF WAS ABORTED WHEN THE PILOT NOTICED THAT THE AIRSPEED INDICATOR WAS INOPERATIVE  A PASSENGER DEPLANED AND REMOVED THE PITOT COVER  THE AIRMAN THEN MADE A TAKEOFF AND WAS INFORMED BY ATC THAT HE APPEARED TO HAVE A TOW BAR HANGING FROM THE NOSE OF THE AIRCRAFT  THE AIRCRAFT THEN RETURNED TO THE AIRPORT AND LANDED WITHOUT FURTHER INCIDENT  IT WAS LATER DETERMINED THAT THERE WAS NO DAMAGE TO THE AIRCRAFT  SAFETY PROGRAM MANAGER JAMES COONEY COUNSELED THE PILOT, MR  LLOYD FRYE, ON JULY 26, 2001, REGARDING BENEFITS OF A THOROUGH PREFLIGHT INSPECTION "
2419,20010802021609I,"PILOT STATED THAT JUST BEFORE TAKE OFF AT YUMA INTERNATIONAL AIRPORT, HE ADJUSTED HIS SEAT FORWARD BECAUSE HE",II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,IFR                 ,Unknown             ,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"PILOT STATED THAT JUST BEFORE TAKE OFF AT YUMA INTERNATIONAL AIRPORT, HE ADJUSTED HIS SEAT FORWARD BECAUSE HE FELT THAT HE WAS TOO FAR BACK FROM THE CONTROL PEDALS  PILOT STATED THAT EVERYTHING WAS GOING GREAT AND THAT HE ROLLED UP TO THE HOLD LINE AND STOPPED AND WAITED FOR AN AIRCRAFT TO LAND, HE THEN PROCEEDED TO TAKE OFF  JUST AS HE LIFTED THE NOSE OFF THE GROUND, HE STATED THE SEAT SLID BACK, RENDERING HIM UNABLE TO MANAGE THE CONTROLS  THE AIRCRAFT THEN SETTLED BACK ON THE GROUND RUNNING OFF THE RUNWAY STRIKNG A RUNWAY SIGN  THE TOWER ASKED IF HE WANTED TO DECLARE AN EMERGENCY AND THE PILOT STATED NO, THAT HE WOULD JUST BACK TO BET-KO-AIR AIR  THE AIRCRAFT HAS ONLY MINOR DAMAGE AND NO INJURIES TO THE PILOT "
2420,20010610033379I,"SMALL TOW BAR WAS LEFT ATTACHED, AFTER A PRE-FLIGHT INSPECTION WAS COMPLETED IN HANGAR  PILOT WAS NOTIFIED TO",II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"SMALL TOW BAR WAS LEFT ATTACHED, AFTER A PRE-FLIGHT INSPECTION WAS COMPLETED IN HANGAR  PILOT WAS NOTIFIED TOW BAR WAS STILL ATTACHED AFTER TAKEOFF, PILOT FLEW TO OPEN FIELD AND CYCLED THE LANDING GEAR, THE TOW BAR DROPPED OFF AND WAS RECOVERED  DAMAGE TO ARICRAFT GEAR DOORS WAS MINOR "
2421,20010711020939I,ON 07/11/01 FEDEX FLIGHT 1611 INBOUND TO IND REPORTED HEARING A LOUD NOISE FROM THE REAR OF THE AIRCRAFT  THE,II,J,SC,Inadequate Insp Of A,Shifting Fuel Cargo ,Pilot-In-Command    ,Inadeq Sup-Vision Tr,Shifting Fuel Cargo ,Ground Crew         ,                    ,Other-Miscellaneous ,Normal Cruise,                    ,Pilot and Ground Cre,All Cargo Carriers  ,Cargo               ,Unknown             ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Declared Emergency  ,                    ,                    ,                    ,ON 07/11/01 FEDEX FLIGHT 1611 INBOUND TO IND REPORTED HEARING A LOUD NOISE FROM THE REAR OF THE AIRCRAFT  THE CREW WAS CONCERNED THAT THE CARGO HAS SHIFTED  AN EMERGENCY WAS DECLARED AND THE AIRCRAFT LANDED WITHOUT FURTHER INCIDENT  UPON LANDING IT WAS FOUND THAT THE LOCKS FOR A CARGO CONTAINER IN THE FORWARD LOWER CARGO COMPARTMENT WERE NOT LOCKED 
